timestamp_utc,iso_pdt,carrier=verizon;connection_type=5g_cellular;experiment=none
1782745140,2026-06-29T07:59:00-07:00,865
1782745200,2026-06-29T08:00:00-07:00,865
1782745260,2026-06-29T08:01:00-07:00,61
1782745320,2026-06-29T08:02:00-07:00,587
1782745380,2026-06-29T08:03:00-07:00,993
1782745440,2026-06-29T08:04:00-07:00,993
1782745500,2026-06-29T08:05:00-07:00,754
1782745560,2026-06-29T08:06:00-07:00,754
1782745620,2026-06-29T08:07:00-07:00,754
1782745680,2026-06-29T08:08:00-07:00,754
1782745740,2026-06-29T08:09:00-07:00,754
1782745800,2026-06-29T08:10:00-07:00,754
1782746100,2026-06-29T08:15:00-07:00,21
1782746160,2026-06-29T08:16:00-07:00,755
1782746220,2026-06-29T08:17:00-07:00,755
1782746280,2026-06-29T08:18:00-07:00,755
1782746340,2026-06-29T08:19:00-07:00,755
1782746400,2026-06-29T08:20:00-07:00,755
1782746460,2026-06-29T08:21:00-07:00,755
1782746520,2026-06-29T08:22:00-07:00,755
1782746580,2026-06-29T08:23:00-07:00,755
1782746640,2026-06-29T08:24:00-07:00,755
1782746760,2026-06-29T08:26:00-07:00,755
1782746820,2026-06-29T08:27:00-07:00,679
1782746880,2026-06-29T08:28:00-07:00,679
1782746940,2026-06-29T08:29:00-07:00,679
1782747000,2026-06-29T08:30:00-07:00,679
1782747060,2026-06-29T08:31:00-07:00,679
1782747120,2026-06-29T08:32:00-07:00,755
1782747180,2026-06-29T08:33:00-07:00,755
1782747240,2026-06-29T08:34:00-07:00,755
1782747300,2026-06-29T08:35:00-07:00,755
1782747360,2026-06-29T08:36:00-07:00,755
1782747420,2026-06-29T08:37:00-07:00,755
1782750300,2026-06-29T09:25:00-07:00,755
1782750360,2026-06-29T09:26:00-07:00,755
1782750420,2026-06-29T09:27:00-07:00,755
1782750480,2026-06-29T09:28:00-07:00,755
1782750540,2026-06-29T09:29:00-07:00,755
1782750600,2026-06-29T09:30:00-07:00,755
1782750900,2026-06-29T09:35:00-07:00,755
1782750960,2026-06-29T09:36:00-07:00,755
1782751020,2026-06-29T09:37:00-07:00,755
1782751080,2026-06-29T09:38:00-07:00,755
1782751140,2026-06-29T09:39:00-07:00,755
1782751200,2026-06-29T09:40:00-07:00,755
1782753540,2026-06-29T10:19:00-07:00,755
1782753600,2026-06-29T10:20:00-07:00,755
1782753660,2026-06-29T10:21:00-07:00,755
1782753720,2026-06-29T10:22:00-07:00,755
1782753780,2026-06-29T10:23:00-07:00,755
1782754140,2026-06-29T10:29:00-07:00,755
1782754200,2026-06-29T10:30:00-07:00,755
1782754260,2026-06-29T10:31:00-07:00,755
1782754320,2026-06-29T10:32:00-07:00,755
1782754380,2026-06-29T10:33:00-07:00,755
1782754440,2026-06-29T10:34:00-07:00,755
1782754500,2026-06-29T10:35:00-07:00,842
1782754560,2026-06-29T10:36:00-07:00,842
1782754620,2026-06-29T10:37:00-07:00,842
1782754680,2026-06-29T10:38:00-07:00,842
1782754740,2026-06-29T10:39:00-07:00,842
1782755160,2026-06-29T10:46:00-07:00,755
1782755220,2026-06-29T10:47:00-07:00,755
1782755280,2026-06-29T10:48:00-07:00,755
1782755340,2026-06-29T10:49:00-07:00,755
1782755400,2026-06-29T10:50:00-07:00,755
1782755460,2026-06-29T10:51:00-07:00,755
1782755520,2026-06-29T10:52:00-07:00,755
1782755580,2026-06-29T10:53:00-07:00,755
1782755640,2026-06-29T10:54:00-07:00,755
1782755700,2026-06-29T10:55:00-07:00,755
1782755760,2026-06-29T10:56:00-07:00,755
1782755820,2026-06-29T10:57:00-07:00,755
1782758100,2026-06-29T11:35:00-07:00,429
1782758160,2026-06-29T11:36:00-07:00,429
1782758220,2026-06-29T11:37:00-07:00,429
1782758280,2026-06-29T11:38:00-07:00,429
1782758340,2026-06-29T11:39:00-07:00,429
1782758400,2026-06-29T11:40:00-07:00,429
1782758460,2026-06-29T11:41:00-07:00,429
1782758520,2026-06-29T11:42:00-07:00,429
1782758580,2026-06-29T11:43:00-07:00,429
1782758640,2026-06-29T11:44:00-07:00,429
1782758700,2026-06-29T11:45:00-07:00,429
1782758760,2026-06-29T11:46:00-07:00,429
1782758820,2026-06-29T11:47:00-07:00,429
1782758880,2026-06-29T11:48:00-07:00,429
1782758940,2026-06-29T11:49:00-07:00,429
1782759000,2026-06-29T11:50:00-07:00,429
1782759060,2026-06-29T11:51:00-07:00,429
1782759120,2026-06-29T11:52:00-07:00,429
1782759180,2026-06-29T11:53:00-07:00,429
1782759240,2026-06-29T11:54:00-07:00,429
1782759600,2026-06-29T12:00:00-07:00,429
1782759660,2026-06-29T12:01:00-07:00,429
1782759720,2026-06-29T12:02:00-07:00,429
1782759780,2026-06-29T12:03:00-07:00,429
1782759840,2026-06-29T12:04:00-07:00,429
1782759900,2026-06-29T12:05:00-07:00,429
1782759960,2026-06-29T12:06:00-07:00,429
1782760020,2026-06-29T12:07:00-07:00,429
1782760080,2026-06-29T12:08:00-07:00,429
1782760140,2026-06-29T12:09:00-07:00,429
1782760200,2026-06-29T12:10:00-07:00,429
1782760260,2026-06-29T12:11:00-07:00,429
1782760320,2026-06-29T12:12:00-07:00,429
1782760380,2026-06-29T12:13:00-07:00,429
1782760440,2026-06-29T12:14:00-07:00,429
1782760560,2026-06-29T12:16:00-07:00,429
1782760620,2026-06-29T12:17:00-07:00,429
1782760680,2026-06-29T12:18:00-07:00,429
1782760740,2026-06-29T12:19:00-07:00,429
1782760800,2026-06-29T12:20:00-07:00,429
1782760860,2026-06-29T12:21:00-07:00,429
1782760920,2026-06-29T12:22:00-07:00,429
1782760980,2026-06-29T12:23:00-07:00,429
1782761040,2026-06-29T12:24:00-07:00,429
1782761100,2026-06-29T12:25:00-07:00,21
1782761160,2026-06-29T12:26:00-07:00,429
1782761220,2026-06-29T12:27:00-07:00,429
1782761280,2026-06-29T12:28:00-07:00,429
1782761340,2026-06-29T12:29:00-07:00,429
1782761400,2026-06-29T12:30:00-07:00,429
1782761460,2026-06-29T12:31:00-07:00,429
1782761520,2026-06-29T12:32:00-07:00,429
1782761580,2026-06-29T12:33:00-07:00,429
1782761640,2026-06-29T12:34:00-07:00,429
1782761700,2026-06-29T12:35:00-07:00,429
1782761760,2026-06-29T12:36:00-07:00,429
1782761820,2026-06-29T12:37:00-07:00,429
1782761880,2026-06-29T12:38:00-07:00,429
1782761940,2026-06-29T12:39:00-07:00,429
1782762000,2026-06-29T12:40:00-07:00,429
1782762060,2026-06-29T12:41:00-07:00,429
1782762120,2026-06-29T12:42:00-07:00,429
1782762180,2026-06-29T12:43:00-07:00,429
1782762240,2026-06-29T12:44:00-07:00,429
1782762300,2026-06-29T12:45:00-07:00,429
1782762360,2026-06-29T12:46:00-07:00,429
1782762720,2026-06-29T12:52:00-07:00,755
1782762780,2026-06-29T12:53:00-07:00,755
1782762840,2026-06-29T12:54:00-07:00,755
1782762900,2026-06-29T12:55:00-07:00,755
1782762960,2026-06-29T12:56:00-07:00,755
1782763020,2026-06-29T12:57:00-07:00,755
1782764160,2026-06-29T13:16:00-07:00,755
1782764220,2026-06-29T13:17:00-07:00,755
1782764280,2026-06-29T13:18:00-07:00,755
1782764340,2026-06-29T13:19:00-07:00,755
1782764400,2026-06-29T13:20:00-07:00,755
1782765840,2026-06-29T13:44:00-07:00,429
1782765900,2026-06-29T13:45:00-07:00,429
1782765960,2026-06-29T13:46:00-07:00,429
1782766020,2026-06-29T13:47:00-07:00,429
1782766080,2026-06-29T13:48:00-07:00,429
1782766140,2026-06-29T13:49:00-07:00,429
1782767640,2026-06-29T14:14:00-07:00,429
1782767700,2026-06-29T14:15:00-07:00,429
1782767760,2026-06-29T14:16:00-07:00,429
1782767820,2026-06-29T14:17:00-07:00,429
1782767880,2026-06-29T14:18:00-07:00,429
1782767940,2026-06-29T14:19:00-07:00,429
1782768060,2026-06-29T14:21:00-07:00,429
1782768120,2026-06-29T14:22:00-07:00,429
1782768180,2026-06-29T14:23:00-07:00,429
1782768240,2026-06-29T14:24:00-07:00,429
1782768300,2026-06-29T14:25:00-07:00,429
1782768660,2026-06-29T14:31:00-07:00,430
1782768720,2026-06-29T14:32:00-07:00,430
1782768780,2026-06-29T14:33:00-07:00,430
1782768840,2026-06-29T14:34:00-07:00,430
1782768900,2026-06-29T14:35:00-07:00,430
1782768960,2026-06-29T14:36:00-07:00,39
1782769020,2026-06-29T14:37:00-07:00,39
1782769080,2026-06-29T14:38:00-07:00,266
1782769140,2026-06-29T14:39:00-07:00,266
1782769200,2026-06-29T14:40:00-07:00,600
1782769260,2026-06-29T14:41:00-07:00,292
1782769320,2026-06-29T14:42:00-07:00,87
1782769380,2026-06-29T14:43:00-07:00,60
1782769440,2026-06-29T14:44:00-07:00,87
1782769500,2026-06-29T14:45:00-07:00,61
1782769560,2026-06-29T14:46:00-07:00,702
1782769620,2026-06-29T14:47:00-07:00,702
1782769680,2026-06-29T14:48:00-07:00,702
1782769740,2026-06-29T14:49:00-07:00,702
1782769800,2026-06-29T14:50:00-07:00,702
1782769860,2026-06-29T14:51:00-07:00,235
