timestamp_utc,iso_pdt,carrier=verizon;connection_type=5g_cellular;experiment=none
1782248282,2026-06-23T13:58:02-07:00,21
1782248342,2026-06-23T13:59:02-07:00,21
1782248402,2026-06-23T14:00:02-07:00,21
1782248462,2026-06-23T14:01:02-07:00,21
1782248522,2026-06-23T14:02:02-07:00,21
1782249242,2026-06-23T14:14:02-07:00,755
1782249302,2026-06-23T14:15:02-07:00,755
1782249362,2026-06-23T14:16:02-07:00,755
1782249422,2026-06-23T14:17:02-07:00,755
1782249482,2026-06-23T14:18:02-07:00,755
1782249542,2026-06-23T14:19:02-07:00,755
1782249602,2026-06-23T14:20:02-07:00,755
1782251102,2026-06-23T14:45:02-07:00,755
1782251162,2026-06-23T14:46:02-07:00,755
1782251222,2026-06-23T14:47:02-07:00,755
1782251282,2026-06-23T14:48:02-07:00,755
1782251342,2026-06-23T14:49:02-07:00,755
1782251402,2026-06-23T14:50:02-07:00,755
1782251462,2026-06-23T14:51:02-07:00,755
1782251522,2026-06-23T14:52:02-07:00,755
1782252122,2026-06-23T15:02:02-07:00,429
1782252182,2026-06-23T15:03:02-07:00,429
1782252242,2026-06-23T15:04:02-07:00,429
1782252302,2026-06-23T15:05:02-07:00,429
1782252362,2026-06-23T15:06:02-07:00,429
1782252422,2026-06-23T15:07:02-07:00,429
1782252482,2026-06-23T15:08:02-07:00,429
1782252542,2026-06-23T15:09:02-07:00,429
1782252602,2026-06-23T15:10:02-07:00,429
1782252662,2026-06-23T15:11:02-07:00,429
1782252722,2026-06-23T15:12:02-07:00,429
1782252782,2026-06-23T15:13:02-07:00,429
1782254222,2026-06-23T15:37:02-07:00,429
1782254282,2026-06-23T15:38:02-07:00,429
1782254342,2026-06-23T15:39:02-07:00,429
1782254402,2026-06-23T15:40:02-07:00,429
1782254462,2026-06-23T15:41:02-07:00,429
1782254522,2026-06-23T15:42:02-07:00,429
1782254582,2026-06-23T15:43:02-07:00,429
1782254642,2026-06-23T15:44:02-07:00,429
1782254702,2026-06-23T15:45:02-07:00,429
1782255002,2026-06-23T15:50:02-07:00,430
1782255062,2026-06-23T15:51:02-07:00,430
1782255122,2026-06-23T15:52:02-07:00,430
1782255182,2026-06-23T15:53:02-07:00,430
1782255242,2026-06-23T15:54:02-07:00,430
1782255302,2026-06-23T15:55:02-07:00,430
1782255362,2026-06-23T15:56:02-07:00,430
1782255422,2026-06-23T15:57:02-07:00,810
1782255482,2026-06-23T15:58:02-07:00,266
1782255542,2026-06-23T15:59:02-07:00,266
1782255602,2026-06-23T16:00:02-07:00,266
1782255662,2026-06-23T16:01:02-07:00,51
1782255722,2026-06-23T16:02:02-07:00,62
1782255782,2026-06-23T16:03:02-07:00,291
1782255842,2026-06-23T16:04:02-07:00,348
1782255902,2026-06-23T16:05:02-07:00,61
